gen_count, change_count, dist, prec, iterations, end_fitness
5, 4, 0.25, 999.99, 10000000, 999.9827657995457
5, 4, 0.25, 999.999, 10000000, 999.9852528866562
5, 4, 0.25, 999.999, 10000000, 999.9809960655506
5, 4, 0.25, 999.999, 10000000, 999.97925835251
5, 4, 0.25, 999.999, 10000000, 999.9618959634545
5, 4, 0.25, 999.999, 10000000, 999.977237476265
5, 4, 0.25, 999.9999, 10000000, 999.9893661992635
5, 4, 0.25, 999.9999, 10000000, 999.9842333414734
5, 4, 0.25, 999.9999, 10000000, 999.9709423058974
5, 4, 0.25, 999.9999, 10000000, 999.964614008769
5, 4, 0.25, 999.9999, 10000000, 999.9645342676486
5, 1, 0.1, 700, 104, 701.495867209965
5, 1, 0.1, 700, 221, 707.9451449797733
5, 1, 0.1, 700, 98, 710.7398471891813
5, 1, 0.1, 700, 215, 714.5725240896977
5, 1, 0.1, 700, 99, 701.9915653657246
5, 1, 0.1, 800, 257, 811.8600552199146
5, 1, 0.1, 800, 9, 815.054884476181
5, 1, 0.1, 800, 179, 806.8397364181219
5, 1, 0.1, 800, 52, 803.3199070670424
5, 1, 0.1, 800, 242, 810.3090182071254
5, 1, 0.1, 999, 326, 999.8490747757165
5, 1, 0.1, 999, 387, 999.9195906231312
5, 1, 0.1, 999, 211, 999.8071278674043
5, 1, 0.1, 999, 257, 999.8793265206116
5, 1, 0.1, 999, 120, 999.4851960393607
5, 1, 0.1, 999.9, 301, 999.9930172505502
5, 1, 0.1, 999.9, 376, 999.991361218529
5, 1, 0.1, 999.9, 381, 999.9256862572983
5, 1, 0.1, 999.9, 212, 999.9201247203875
5, 1, 0.1, 999.9, 347, 999.9500266035972
5, 1, 0.1, 999.99, 332, 999.9957303759653
5, 1, 0.1, 999.99, 446, 999.9947562884078
5, 1, 0.1, 999.99, 685, 999.9926156599297
5, 1, 0.1, 999.99, 765, 999.9948124487194
5, 1, 0.1, 999.99, 282, 999.9963341973126
5, 1, 0.1, 999.999, 1125, 999.9996724639061
5, 1, 0.1, 999.999, 1301, 999.9993524667493
5, 1, 0.1, 999.999, 1561, 999.9999555517064
5, 1, 0.1, 999.999, 998, 999.9991533124759
5, 1, 0.1, 999.999, 879, 999.9994110028764
5, 1, 0.1, 999.9999, 2495, 999.9999108547737
5, 1, 0.1, 999.9999, 1876, 999.9999482415229
5, 1, 0.1, 999.9999, 3493, 999.9999896637125
5, 1, 0.1, 999.9999, 4185, 999.9999319693194
5, 1, 0.1, 999.9999, 4361, 999.9999017967242
5, 2, 0.1, 700, 63, 745.4063372591536
5, 2, 0.1, 700, 82, 726.0108454795161
5, 2, 0.1, 700, 78, 704.1256927455761
5, 2, 0.1, 700, 66, 709.3390263626143
5, 2, 0.1, 700, 133, 702.0497846600549
5, 2, 0.1, 800, 102, 812.6967756130389
5, 2, 0.1, 800, 117, 804.535328929263
5, 2, 0.1, 800, 87, 801.1145108874757
5, 2, 0.1, 800, 64, 814.311995744193
5, 2, 0.1, 800, 106, 813.3973609836985
5, 2, 0.1, 999, 232, 999.2215202417947
5, 2, 0.1, 999, 210, 999.004139797554
5, 2, 0.1, 999, 136, 999.1470244341739
5, 2, 0.1, 999, 204, 999.45185172251
5, 2, 0.1, 999, 185, 999.0263406704007
5, 2, 0.1, 999.9, 278, 999.9052849300942
5, 2, 0.1, 999.9, 1232, 999.9386969841837
5, 2, 0.1, 999.9, 528, 999.9582508410417
5, 2, 0.1, 999.9, 854, 999.9161027207776
5, 2, 0.1, 999.9, 504, 999.9156343107584
5, 2, 0.1, 999.99, 5474, 999.9981405920897
5, 2, 0.1, 999.99, 9870, 999.9985267957625
5, 2, 0.1, 999.99, 2229, 999.9919291187316
5, 2, 0.1, 999.99, 3380, 999.9925524911234
5, 2, 0.1, 999.99, 5125, 999.9954191836217
5, 2, 0.1, 999.999, 46591, 999.9991601929781
5, 2, 0.1, 999.999, 10233, 999.9990703487817
5, 2, 0.1, 999.999, 16792, 999.9991464577174
5, 2, 0.1, 999.999, 21303, 999.9992082955042
5, 2, 0.1, 999.999, 21778, 999.9992351473683
5, 2, 0.1, 999.9999, 384742, 999.9999170613874
5, 2, 0.1, 999.9999, 211838, 999.9999525907007
5, 2, 0.1, 999.9999, 369027, 999.9999236765317
5, 2, 0.1, 999.9999, 92868, 999.9999392746391
